site,rbt_id,cleaner_did,cl_pcb_model,tc_did,tc_pcb_model,breakdown_status,running_status,work_status
Vehelgaon,RBT 6,0013A200421A2491,New,0013A20041B4FAE0,Old,,,
Vehelgaon,RBT 7,0013A20041B4FFC1,Old,0013A20041EFBD2B,Old,,,
Vehelgaon,RBT 8,0013A20041B51AFD,Old,0013A20041B4FE9F,Old,,,
Vehelgaon,RBT 9,,Old,0013A20041B4FA87,Old,,,
Vehelgaon,RBT 10,0013A20041E558C0,Old,0013A20041B4FAB4,Old,,,
Vehelgaon,RBT 11,0013A2004212C2D3,New,0013A200421A24A9,New,,,
Vehelgaon,RBT 12,0013A200421A2441,New,0013A200421AC5DF,New,,,
Vehelgaon,RBT 13,0013A200421A211D,New,0013A20041B4F79D,Old,,,
Vehelgaon,RBT 14,0013A200421A154E,New,0013A20041B4FE6D,Old,,,
Vehelgaon,RBT 15,0013A20041B51A90,Old,0013A200421BABBC,New,,,
Vehelgaon,RBT 16,0013A200421A216B,New,0013A200421BAC2F,New,,,
Vehelgaon,RBT 17,0013A200421BABAF,New,,Old,,,
Vehelgaon,RBT 18,0013A20041B51A90,Old,,Old,,,
Vehelgaon,RBT 19,0013A200421BAB41,New,,Old,,,
Vehelgaon,RBT 20,0013A200421BAB7F,New,0013A20041EFBD24,Old,,,
Vehelgaon,RBT 21,0013A200421AC5C7,New,,Old,,,
Vehelgaon,RBT 22,0013A20041A0B4FA,Old,0013A20041B4F973,Old,,,
Vehelgaon,RBT 23,0013A200421AC5A6,New,,Old,,,
Vehelgaon,RBT 24,0013A200421BB39E,New,,Old,,,
Vehelgaon,RBT 25,0013A20041B51B61,Old,,Old,,,
